Person A,Person B,Connection,Source(s)
DONALD J. TRUMP,ANDY PUZDER,Nominee for Secretary of Labor,General knowledge
DONALD J. TRUMP,ARAS AGALAROV,"The billionaire real estate developer says he befriended Trump, and also has served as a liaison between Trump and Putin",https://www.washingtonpost.com/politics/inside-trumps-financial-ties-to-russia-and-his-unusual-flattery-of-vladimir-putin/2016/06/17/dbdcaac8-31a6-11e6-8ff7-7b6c1998b7a0_story.html | http://www.forbes.com/profile/aras-agalarov/
DONALD J. TRUMP,BARRY BENNETT,"""Informal advisor to the Donald Trump campaign,"" per the Washington Post",https://www.washingtonpost.com/news/post-politics/wp/2016/01/22/former-carson-campaign-manager-barry-bennett-is-quietly-advising-trumps-top-aides/?utm_term=.795d808dc8d2
DONALD J. TRUMP,BEN CARSON,Nominee for Secretary of HUD,General knowledge
DONALD J. TRUMP,BETSY DEVOS,Nominee for Secretary of Education,General knowledge
DONALD J. TRUMP,BILL STEPIEN,White House political director,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
DONALD J. TRUMP,BRAD PARSCALE,Former digital director for Trump campaign,http://www.politico.com/story/2017/01/new-pro-trump-political-group-readies-for-launch-233263
DONALD J. TRUMP,BRIAN BAUDREAU,Former driver,https://www.nytimes.com/2016/12/25/us/politics/trump-organization-business.html?_r=0
DONALD J. TRUMP,CARL C. ICAHN,Special Advisor on Business Regulations,http://fortune.com/2016/12/21/donald-trump-carl-icahn-special-adviser-regulations/
DONALD J. TRUMP,COREY LEWANDOWSKI,Former campaign manager,http://www.politico.com/blogs/on-media/2017/01/corey-lewandowski-joins-conservative-news-network-as-commentator-233559
DONALD J. TRUMP,DAN COATS,Nominee for Director of National Intelligence,General knowledge
DONALD J. TRUMP,DAVID S. CORDISH,Friends,http://www.baltimoresun.com/news/maryland/politics/blog/bal-reed-cordish-to-join-trump-administration-20170105-story.html
DONALD J. TRUMP,DINA POWELL,Assistant to the president and senior counselor for economic initiatives,https://www.bloomberg.com/politics/articles/2017-01-12/goldman-sachs-s-dina-powell-named-as-trump-s-economic-assistant
DONALD J. TRUMP,DON MCGAHN,White House Counsel,General knowledge
DONALD J. TRUMP,DONALD TRUMP JR.,Parent/child,General knowledge
